IT  IS  SLIP
  1   1  0.0010  0.0600
  1   2  0.0010  0.0010
  1   3  0.0010  0.0600
  1   4  0.0010  0.0010
  1   5  0.0010  0.0600
  1   6  0.0010  0.0010
  1   7  0.0010  0.0600
  1   8  0.0010  0.0010
  2   1  0.0010  0.0010
  2   2  0.0010  0.0600
  2   3  0.0010  0.0010
  2   4  0.0010  0.0600
  2   5  0.0010  0.0010
  2   6  0.0010  0.0600
  2   7  0.0010  0.0010
  2   8  0.0010  0.0600
  3   1  0.0010  0.0600
  3   2  0.0010  0.0010
  3   3  0.0010  0.0600
  3   4  0.0010  0.0010
  3   5  0.0010  0.0600
  3   6  0.0010  0.0010
  3   7  0.0010  0.0600
  3   8  0.0010  0.0010
